snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-3.0103;1;289;100;107;0.0844042;0.934579;0.00257786;2.40921e-05
1;-2.0103;0.891251;214;100;115;0.0581522;0.869565;0.00271306;2.35918e-05
2;-1.0103;0.794328;179;100;129;0.0433624;0.775194;0.00287114;2.22569e-05
3;-0.0103;0.707946;144;100;218;0.0206422;0.458716;0.0047359;2.17243e-05
4;0.9897;0.630957;115;100;290;0.0123922;0.344828;0.005682;1.95931e-05
5;1.9897;0.562341;111;100;630;0.00550595;0.15873;0.0123739;1.96411e-05
6;2.9897;0.501187;105;100;1467;0.00223671;0.0681663;0.0287028;1.95657e-05
7;3.9897;0.446684;102;100;4029;0.000791139;0.0248201;0.0787031;1.95341e-05
8;4.9897;0.398107;100;100;16342;0.000191225;0.0061192;0.319634;1.95591e-05
9;5.9897;0.354813;100;100;73597;4.2461e-05;0.00135875;1.43886;1.95506e-05
10;6.9897;0.316228;100;100;724015;4.31621e-06;0.000138119;14.1451;1.95371e-05
11;7.9897;0.281838;100;100;11673033;2.67711e-07;8.56675e-06;227.976;1.95302e-05
12;8.9897;0.251189;100;100;245414000;1.27336e-08;4.07475e-07;4793.14;1.95309e-05
