snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;272;100;103;0.0825243;0.970874;0.00594732;5.7741e-05;554199
1;-5.0206;1.26042;230;100;119;0.0603992;0.840336;0.0059183;4.97336e-05;643428
2;-4.0206;1.12335;154;100;145;0.0331897;0.689655;0.00758793;5.23305e-05;611498
3;-3.0206;1.00119;134;100;207;0.0202295;0.483092;0.0102494;4.95139e-05;646284
4;-2.0206;0.892308;127;100;298;0.013318;0.33557;0.0144507;4.84922e-05;659900
5;-1.0206;0.795271;110;100;477;0.0072065;0.209644;0.0218999;4.59118e-05;696988
6;-0.0205999;0.708786;108;100;1233;0.00273723;0.081103;0.0555316;4.50378e-05;710514
7;0.9794;0.631706;104;100;3017;0.00107723;0.0331455;0.134137;4.44604e-05;719742
8;1.9794;0.563009;100;100;9530;0.000327912;0.0104932;0.423359;4.44238e-05;720334
9;2.9794;0.501782;100;100;45012;6.94259e-05;0.00222163;1.96749;4.37103e-05;732093
10;3.9794;0.447214;100;100;200060;1.56203e-05;0.00049985;8.68376;4.34058e-05;737229
11;4.9794;0.39858;101;100;1532910;2.05899e-06;6.52354e-05;66.2318;4.32066e-05;740628
12;5.9794;0.355234;100;100;15299529;2.04255e-07;6.53615e-06;658.957;4.30704e-05;742969
