snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;268;100;110;0.0761364;0.909091;0.00219599;1.99635e-05;1.60292e+06
1;-3.77121;1.09155;200;100;116;0.0538793;0.862069;0.00144009;1.24145e-05;2.57762e+06
2;-2.77121;0.972849;170;100;145;0.0366379;0.689655;0.00112337;7.74737e-06;4.13043e+06
3;-1.77121;0.867053;144;100;188;0.0239362;0.531915;0.00148969;7.92387e-06;4.03843e+06
4;-0.771212;0.772762;119;100;315;0.0118056;0.31746;0.00244969;7.7768e-06;4.1148e+06
5;0.228788;0.688725;112;100;471;0.007431;0.212314;0.0036945;7.84396e-06;4.07957e+06
6;1.22879;0.613827;109;100;967;0.00352249;0.103413;0.00655791;6.7817e-06;4.71858e+06
7;2.22879;0.547073;100;100;1895;0.00164908;0.0527704;0.0135277;7.13861e-06;4.48266e+06
8;3.22879;0.48758;101;100;7177;0.000439773;0.0139334;0.0469812;6.54608e-06;4.88842e+06
9;4.22879;0.434556;100;100;22236;0.000140538;0.00449721;0.138532;6.23009e-06;5.13636e+06
10;5.22879;0.387298;100;100;122387;2.55338e-05;0.00081708;0.733669;5.99467e-06;5.33808e+06
11;6.22879;0.34518;100;100;931159;3.35603e-06;0.000107393;5.47899;5.88405e-06;5.43843e+06
12;7.22879;0.307642;100;100;9085941;3.43938e-07;1.1006e-05;53.3949;5.87665e-06;5.44528e+06
