snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;247;100;106;0.0728184;0.943396;0.00184308;1.73875e-05;1.8404e+06
1;-2.0103;0.891251;206;100;123;0.0523374;0.813008;0.0011714;9.5236e-06;3.36007e+06
2;-1.0103;0.794328;170;100;135;0.0393519;0.740741;0.00127281;9.42825e-06;3.39405e+06
3;-0.0103;0.707946;145;101;200;0.0226563;0.505;0.00186721;9.33603e-06;3.42758e+06
4;0.9897;0.630957;115;100;314;0.0114451;0.318471;0.00315743;1.00555e-05;3.18234e+06
5;1.9897;0.562341;108;100;573;0.00589005;0.17452;0.0053384;9.31659e-06;3.43473e+06
6;2.9897;0.501187;104;100;1491;0.00217975;0.0670691;0.0130578;8.75774e-06;3.65391e+06
7;3.9897;0.446684;101;100;3661;0.000862128;0.0273149;0.0255619;6.98222e-06;4.58307e+06
8;4.9897;0.398107;100;100;14613;0.000213851;0.00684322;0.0970339;6.64025e-06;4.8191e+06
9;5.9897;0.354813;100;100;104622;2.98694e-05;0.000955822;0.695582;6.64852e-06;4.8131e+06
10;6.9897;0.316228;100;100;568797;5.49405e-06;0.00017581;3.80318;6.68635e-06;4.78587e+06
