snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-6.0206;1.41421;457;100;103;0.138653;0.970874;0.00394323;3.82838e-05
1;-5.0206;1.26042;389;100;103;0.118022;0.970874;0.0041146;3.99476e-05
2;-4.0206;1.12335;288;100;102;0.0882353;0.980392;0.00358684;3.51651e-05
3;-3.0206;1.00119;226;100;114;0.0619518;0.877193;0.00391014;3.42995e-05
4;-2.0206;0.892308;177;100;123;0.0449695;0.813008;0.00402653;3.2736e-05
5;-1.0206;0.795271;158;100;152;0.0324836;0.657895;0.00495504;3.2599e-05
6;-0.0205999;0.708786;138;100;220;0.0196023;0.454545;0.00711822;3.23555e-05
7;0.9794;0.631706;114;100;347;0.0102666;0.288184;0.0112292;3.23607e-05
8;1.9794;0.563009;107;100;878;0.00380837;0.113895;0.0283212;3.22565e-05
9;2.9794;0.501782;102;100;2231;0.00142873;0.0448229;0.0717737;3.21711e-05
10;3.9794;0.447214;101;100;6705;0.000470731;0.0149142;0.215464;3.21349e-05
11;4.9794;0.39858;100;100;27108;0.00011528;0.00368895;0.869942;3.20917e-05
12;5.9794;0.355234;100;100;172588;1.81067e-05;0.000579415;5.5353;3.20723e-05
13;6.9794;0.316603;100;100;1462177;2.13722e-06;6.83912e-05;46.8749;3.20583e-05
14;7.9794;0.282173;100;100;23514188;1.32898e-07;4.25275e-06;753.365;3.20387e-05
15;8.9794;0.251487;100;100;618091570;5.05589e-09;1.61788e-07;19807;3.20454e-05
