snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-6.0206;1.41421;463;100;103;0.140473;0.970874;0.00422814;4.10499e-05
1;-5.0206;1.26042;380;100;100;0.11875;1;0.00386042;3.86042e-05
2;-4.0206;1.12335;293;100;102;0.0897672;0.980392;0.00375378;3.68017e-05
3;-3.0206;1.00119;249;100;108;0.0720486;0.925926;0.00379102;3.5102e-05
4;-2.0206;0.892308;189;100;115;0.0513587;0.869565;0.00383201;3.33218e-05
5;-1.0206;0.795271;159;100;161;0.0308618;0.621118;0.00539883;3.35331e-05
6;-0.0205999;0.708786;135;100;220;0.0191761;0.454545;0.00735534;3.34334e-05
7;0.9794;0.631706;114;100;420;0.00848214;0.238095;0.0138835;3.30558e-05
8;1.9794;0.563009;108;100;733;0.00460437;0.136426;0.0241683;3.29717e-05
9;2.9794;0.501782;100;100;1678;0.00186234;0.0595948;0.0551807;3.28848e-05
10;3.9794;0.447214;100;100;6422;0.000486609;0.0155715;0.211021;3.2859e-05
11;4.9794;0.39858;100;100;26929;0.000116046;0.00371347;0.886593;3.29234e-05
12;5.9794;0.355234;100;100;163475;1.91161e-05;0.000611714;5.36297;3.28061e-05
13;6.9794;0.316603;100;100;1830879;1.70683e-06;5.46186e-05;60.0853;3.28177e-05
14;7.9794;0.282173;100;100;31083821;1.00535e-07;3.21711e-06;1019.61;3.2802e-05
15;8.9794;0.251487;100;100;552475763;5.65636e-09;1.81003e-07;18117.7;3.27936e-05
